Cost Center	Subject	Training Type	Course Code	Training Title	Session ID	Facility	Training Attendee Status	Registration Date	Transcript Assigned Date	Training Due Date	Part Name	Part Start Time	Part End Time	Part Time Zone	Completion Date	Last Transcript Status Change Date	Time in Training	Training Hours	Credit Hours	Provider	Version Number
	 [Functional Competency], [Functional Competency] Business acumen, Expertise	Online Content		31 Startup Business Model : Best Course for Entrepreneurs			In Progress	4/25/2025 14:25									53	7.98	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		Build Remote Procedure Calls (RPC) - from scratch in C			Completed	2/6/2025 12:52							2/13/2025 20:10	2/13/2025 20:10	253	6.17	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Server software, [Software R&D] System software, Expertise	Online Content		Linux Inter Process Communication (IPC) from Scratch in C			Completed	1/24/2025 18:41							2/4/2025 18:23	2/4/2025 18:23	493	8.67	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Software engineering, Expertise	Online Content		Master LangChain & Gen AI -Build #16 AI Apps HuggingFace LLM			Completed	2/4/2025 19:26							4/24/2025 16:27	4/24/2025 16:27	639	10.33	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:58	4/8/2025 6:58						5/20/2025 8:38	5/20/2025 8:38	13	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:37	2/1/2025 22:37							2/1/2025 22:37	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/5/2025 16:39	4/5/2025 16:39						5/20/2025 10:53	5/20/2025 10:53	20	0.25	0	(SEU) Sales&Marketing School	1
	 Expertise	Session		Udemy License Request (2025-2026)	License Request	The UniverSE, Gyeonggi-do, Korea	Registered	5/8/2025 12:35	5/5/2025 17:24		??? ???? ?? (2024-2025)	3/31/2026 17:00	3/31/2026 17:30	KST		5/8/2025 12:35	0	0.02	0	(SEU) L&D Strategy	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 21:58	2/1/2025 21:58							2/1/2025 21:58	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 6:57	4/8/2025 6:57						5/26/2025 17:14	5/26/2025 17:14	21	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 22:15	2/1/2025 22:15						4/17/2025 18:41	4/17/2025 18:41	0	4	0	(SEU) S/W School	1
	 [Software Tools], [Software Tools] AWS, Expertise	Online Content		AWS Certified Solutions Architect Associate Practice Exams			In Progress	4/9/2025 21:32									568	0	0	(Udemy) ???	
	 [Functional Competency], Expertise	Online Content		Better in :30: How to Own Your Career			Completed	3/27/2025 1:11							3/27/2025 1:17	3/27/2025 1:17	34	0.53	0	(Udemy) ???	
	 Expertise	Event		Business Trainings_SRID			Completed		5/14/2025 11:34						3/28/2025 16:15	5/14/2025 11:34	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:26	5/13/2025 12:26		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:26	90	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 11:24	5/14/2025 11:24		CPT_Trainings_Q1_2025_NEAT Training: New Features and Best Practices	3/28/2025 11:00	3/28/2025 12:00	IST	3/28/2025 12:00	5/14/2025 11:24	60	1	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 11:34	5/14/2025 11:34		CPT_Trainings_Q1_2025_Application Performance Monitoring	2/6/2025 14:45	3/28/2025 16:15	IST	3/28/2025 16:15	5/14/2025 11:34	72090	1.5	0	[SRI-Delhi]HR	1
	 [Functional Competency], [Functional Competency] Time management, Expertise	Online Content		Effective Time and Stress Management Strategies			In Progress	1/15/2025 21:32									0	0.63	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Continuous Learning, Expertise	Online Content		Get Things Done - 7 Productivity Hacks you Need to Know			Completed	1/14/2025 21:12							1/15/2025 0:52	1/15/2025 0:52	43	0.7	0	(Udemy) ???	
	 [Software Tools], Expertise	Online Content		MCP Crash Course: Complete Model Context Protocol in a Day			In Progress	6/6/2025 15:48									28	5.28	0	(Udemy) ???	
	 [Software Tools], [Software Tools] AWS, Expertise	Online Content		Practice Exam AWS Certified Solutions Architect Professional			In Progress	5/14/2025 21:32									180	0	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		Practice Exams | AWS Certified Solutions Architect Associate			Completed	1/2/2025 21:32							5/10/2025 0:34	5/10/2025 0:34	919	0	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/7/2025 12:44	4/7/2025 12:44						4/7/2025 12:58	4/7/2025 12:58	14	0.25	0	(SEU) Sales&Marketing School	1
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		The Complete MCP (Model Context Protocol) Bootcamp			In Progress	6/7/2025 21:32									0	6.77	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:21	2/1/2025 23:21						6/9/2025 19:55	6/9/2025 19:55	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		5/13/2025 12:26						2/12/2025 15:30	5/13/2025 12:26	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:26	5/13/2025 12:26		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:26	90	1.5	0	[SRI-Delhi]HR	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:15	4/8/2025 7:15						5/15/2025 12:12	5/15/2025 12:12	13	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 22:10	2/1/2025 22:10						6/6/2025 16:56	6/6/2025 16:56	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/7/2025 9:26	4/7/2025 9:26						4/7/2025 9:47	4/7/2025 9:47	21	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:03	2/1/2025 23:03						6/9/2025 17:01	6/9/2025 17:01	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:11	4/8/2025 7:11						5/26/2025 15:41	5/26/2025 15:41	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		[Chinese] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 15:02	4/3/2025 15:02							4/3/2025 15:02	0	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:03	2/1/2025 23:03						6/6/2025 16:20	6/6/2025 16:20	0	4	0	(SEU) S/W School	1
		Online Class		[English] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 15:02	4/3/2025 15:02							4/3/2025 15:02	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Korean] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 15:02	4/3/2025 15:02							4/3/2025 15:02	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Spanish] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 15:02	4/3/2025 15:02							4/3/2025 15:02	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		[Vietnamese] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 15:02	4/3/2025 15:02							4/3/2025 15:02	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Software R&D], [Software R&D] Server software, Expertise	Online Class		Cloud Concepts: Hybrid Cloud			Completed	3/28/2025 11:59	3/28/2025 11:59						3/28/2025 16:19	3/28/2025 16:19	0	0.62	0	(LinkedIn Learning) ???? ??	
		External Content		Google Cloud Skills Boost			In Progress	4/22/2025 14:46	4/22/2025 14:46							4/22/2025 14:46	0	0	0	External Content	1
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Class		Prompt Engineering: How to Talk to the AIs			Completed	4/22/2025 14:14	4/22/2025 14:14						4/22/2025 14:42	4/22/2025 14:42	0	0.48	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	3/26/2025 7:20	3/26/2025 7:20						5/27/2025 10:47	5/27/2025 10:47	26	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Core, Expertise	Curriculum		Samsung Essential for Marketing ? Sales			In Progress	4/3/2025 15:02	4/3/2025 15:02							4/3/2025 15:02	0	5	0	(SEU) Sales&Marketing School	5
	 [Marketing], [Sales], Expertise	Online Class		TIM overview			Registered	3/13/2025 14:34	3/13/2025 14:34							3/13/2025 14:34	0	0.08	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 23:19	2/1/2025 23:19							2/1/2025 23:19	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:14	4/8/2025 7:14						5/15/2025 14:58	5/15/2025 14:58	42	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:03	2/1/2025 23:03						6/9/2025 15:27	6/9/2025 15:27	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:11	4/8/2025 7:11						5/28/2025 19:32	5/28/2025 19:32	12	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:16	2/1/2025 22:16							2/1/2025 22:16	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/7/2025 8:58	4/7/2025 8:58						4/7/2025 9:24	4/7/2025 9:24	26	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:16	2/1/2025 22:16							2/1/2025 22:16	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 7:01	4/8/2025 7:01						6/4/2025 15:06	6/4/2025 15:06	13	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:01	2/1/2025 22:01							2/1/2025 22:01	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		6/9/2025 17:28						2/13/2025 17:00	6/9/2025 17:28	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 15:19	5/23/2025 15:19		IWD Session on "Sculpting Future through Body & Mind"	3/6/2025 16:30	3/6/2025 17:30	IST	3/6/2025 17:30	5/23/2025 15:19	60	1	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	6/9/2025 17:28	6/9/2025 17:28		TLC_13 FEB 2025	2/13/2025 15:00	2/13/2025 17:00	IST	2/13/2025 17:00	6/9/2025 17:28	120	2	0	[SRI-Delhi]HR	1
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Content		Complete Agile Scrum Product Owner Certification Training			In Progress	6/1/2025 8:38	6/1/2025 8:38							6/1/2025 8:39	30	8.05	0	(Udemy) ???	
	 [Software Tools], Expertise	Online Content		Generative AI for Beginners			Completed	2/3/2025 11:54	2/3/2025 11:54						3/6/2025 9:25	3/6/2025 9:25	278	3.53	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Content		Product Owner II for Agile Intermediate: Certification Prep			In Progress	3/25/2025 15:25	3/25/2025 15:25							3/25/2025 15:25	39	6.42	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	3/26/2025 7:16	3/26/2025 7:16						5/15/2025 12:14	5/15/2025 12:14	2	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Core, Expertise	Curriculum		Samsung Essential for Marketing ? Sales			In Progress	4/3/2025 14:53	4/3/2025 14:53							4/3/2025 14:53	0	5	0	(SEU) Sales&Marketing School	5
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Content		Scrum Product Owner (PSPO I) Certification & 200+ Questions			In Progress	6/6/2025 8:35	6/6/2025 8:35							6/6/2025 8:35	13	1.97	0	(Udemy) ???	
	 [Marketing], [Sales], Expertise	Online Class		TIM overview			Registered	3/13/2025 14:25	3/13/2025 14:25							3/13/2025 14:25	0	0.08	0	(SEU) Sales&Marketing School	1
	 Expertise	Session		Udemy License Request (2025-2026)	License Request	The UniverSE, Gyeonggi-do, Korea	Registered	6/6/2025 8:34	6/6/2025 8:34		??? ???? ?? (2024-2025)	3/31/2026 17:00	3/31/2026 17:30	KST		6/6/2025 8:34	0	0.02	0	(SEU) L&D Strategy	1
		Online Class		[Chinese] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 14:55	4/3/2025 14:55							4/3/2025 14:55	0	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 22:17	2/1/2025 22:17							2/1/2025 22:17	0	4	0	(SEU) S/W School	1
		Online Class		[English] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 14:55	4/3/2025 14:55							4/3/2025 14:55	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Korean] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 14:55	4/3/2025 14:55							4/3/2025 14:55	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Spanish] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 14:55	4/3/2025 14:55							4/3/2025 14:55	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		[Vietnamese] Samsung lettermark guidelines(for DX)			Registered	4/3/2025 14:55	4/3/2025 14:55							4/3/2025 14:55	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		Assessment: Brand Fundamentals			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0	0	(SEU) Sales&Marketing School	1
		Online Class		Assessment: Introduction to Digital Marketing			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 18:41	1/22/2025 18:41	3	0	0	(SEU) Sales&Marketing School	1
		Online Class		Assessment: Marketing Campaign Process - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0	0	(SEU) Sales&Marketing School	1
		Online Class		Assessment: Marketing Channels - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0	0	(SEU) Sales&Marketing School	1
		Online Class		Assessment: Marketing Data and Analytics - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0	0	(SEU) Sales&Marketing School	1
		Online Class		Assessment: Samsung.com - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0	0	(SEU) Sales&Marketing School	1
		Online Class		Attribution			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Brand Basics			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 19:10	1/22/2025 19:10	22	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Brand Impact and Measurement			In Progress	1/9/2025 18:55	1/9/2025 18:55							1/28/2025 12:38	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Brand Strategy			Completed	1/9/2025 18:55	1/9/2025 18:55						1/27/2025 14:14	1/27/2025 14:14	16	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Brand to Marketing Objectives			Completed	1/9/2025 18:55	1/9/2025 18:55						1/28/2025 12:38	1/28/2025 12:38	150	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Conversion Optimization			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.33	0	(SEU) Sales&Marketing School	1
		Online Class		Customer-Centricity			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 15:53	1/22/2025 15:53	133	0.33	0	(SEU) Sales&Marketing School	1
		Online Class		Data-Driven Marketing			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Expertise	Curriculum		Digital Marketing Foundation			In Progress	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	6.5	0	(SEU) Sales&Marketing School	1
		Online Class		Digital Marketing Partnership			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 17:36	1/22/2025 17:36	23	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Digital Marketing Strategy			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 16:09	1/22/2025 16:09	16	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Digital Marketing Trends			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 18:38	1/22/2025 18:38	16	0.33	0	(SEU) Sales&Marketing School	1
		Online Class		Display and Video Marketing			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		Email Marketing			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Executing Campaigns			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Experimentation			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Introduction to Marketing Channels and MarTech			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Introduction to the Digital Marketing Foundation Course			Completed	1/9/2025 18:55	1/9/2025 18:55						1/9/2025 18:59	1/9/2025 18:59	4	0.17	0	(SEU) Sales&Marketing School	1
	 [Language], [Language] Learn Korean, Core	Online Content		Learn Korean! Speak, Read, and Write Korean Today!			In Progress	5/8/2025 9:49	5/8/2025 9:49							5/8/2025 9:49	0	1.93	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Security software, Expertise	Online Content		Linux Security: The Complete Iptables Firewall Guide			In Progress	4/10/2025 21:35									0	9.37	0	(Udemy) ???	
		Online Class		Managing Channel Conflict			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Marketing Analytics Tools			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		Marketing Content Optimization			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
	 [Software R&D], [Software R&D] Security software, Expertise	Online Content		Master Cisco CCNA 200-301: Comprehensive All-in-One Course			In Progress	4/10/2025 21:35									2	50.07	0	(Udemy) ???	
		Online Class		Online Marketing via S.com			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.33	0	(SEU) Sales&Marketing School	1
		Online Class		Optimizing and Measuring Campaigns			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
	 [Software R&D], [Software R&D] Security software, Expertise	Online Content		Palo Alto Networks Automation with API, Python & Ansible			In Progress	4/10/2025 0:13									77	2.2	0	(Udemy) ???	
		Online Class		Planning Campaigns			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.33	0	(SEU) Sales&Marketing School	1
		Online Class		Samsung Brand Strategy			Completed	3/26/2025 7:17	3/26/2025 7:17						4/29/2025 11:35	4/29/2025 11:35	12	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Core, Expertise	Curriculum		Samsung Essential for Marketing ? Sales			In Progress	4/3/2025 14:55	4/3/2025 14:55							4/3/2025 14:55	0	5	0	(SEU) Sales&Marketing School	5
		Online Class		Search Marketing			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		Social Media Marketing			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Sales], Expertise	Online Class		TIM overview			Registered	3/13/2025 14:26	3/13/2025 14:26							3/13/2025 14:26	0	0.08	0	(SEU) Sales&Marketing School	1
		Online Class		Welcome to Brand Fundamentals			Completed	1/9/2025 18:55	1/9/2025 18:55						1/22/2025 18:48	1/22/2025 18:48	7	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Welcome to Digital Marketing			Completed	1/9/2025 18:55	1/9/2025 18:55						1/9/2025 19:04	1/9/2025 19:04	5	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Welcome to Marketing Campaign Process - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Welcome to Marketing Channels - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Welcome to Marketing Data and Analytics - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		Welcome to Samsung.com - I			Registered	1/9/2025 18:55	1/9/2025 18:55							1/9/2025 18:55	0	0.17	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/1/2025 21:58	2/1/2025 21:58							2/1/2025 21:58	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Registered	4/8/2025 6:57	4/8/2025 6:57							4/8/2025 6:57	0	0.25	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Chinese] Samsung lettermark guidelines(for DX sales&marketing)			Registered	3/19/2025 14:38	3/19/2025 14:38							3/19/2025 14:38	0	0.42	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 22:09	2/1/2025 22:09						6/9/2025 9:38	6/9/2025 9:38	0	4	0	(SEU) S/W School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[English] Samsung lettermark guidelines(for DX sales&marketing)			Registered	3/19/2025 14:38	3/19/2025 14:38							3/19/2025 14:38	0	0.42	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Korean] Samsung lettermark guidelines(for DX sales&marketing)			Registered	3/19/2025 14:38	3/19/2025 14:38							3/19/2025 14:38	0	0.42	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Spanish] Samsung lettermark guidelines(for DX sales&marketing)			Registered	3/19/2025 14:38	3/19/2025 14:38							3/19/2025 14:38	0	0.42	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Vietnamese] Samsung lettermark guidelines(for DX sales&marketing)			Registered	3/19/2025 14:38	3/19/2025 14:38							3/19/2025 14:38	0	0.42	0	(SEU) Sales&Marketing School	1
		Online Class		Bank Detail Create & Change Training 2025			Completed	3/12/2025 12:21	3/12/2025 12:21						3/19/2025 14:36	3/19/2025 14:36	30	0	0	[SIEL-S]HR	1
	 Expertise	Event		Business Trainings_SRID			Completed		5/23/2025 14:48						3/26/2025 16:00	5/23/2025 14:48	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 14:48	5/23/2025 14:48		Budget Approval Training	3/26/2025 15:00	3/26/2025 16:00	IST	3/26/2025 16:00	5/23/2025 14:48	60	1	0	[SRI-Delhi]HR	1
		Online Class		Chapter 1. Identifying and engaging stakeholders			In Progress	3/26/2025 10:09	3/26/2025 10:09							3/26/2025 10:09	16	0.5	0	(SEU) Sales&Marketing School	1
		Online Class		Chapter 2. Aligning common goals to strengthen collaboration			Registered	3/26/2025 10:09	3/26/2025 10:09							3/26/2025 10:09	0	0.5	0	(SEU) Sales&Marketing School	1
	 [Functional Competency], [Functional Competency] Collaboration, [Functional Competency] Communication, [Marketing], [Sales], Expertise	Curriculum		Communication for Win-Win Collaboration			In Progress	3/26/2025 10:09	3/26/2025 10:09							3/26/2025 10:09	0	1	0	(SEU) Sales&Marketing School	1
	 [Business Strategy], [Business Strategy] Business Strategy/Industry Trends, Core	Online Class		Critical Thinking for Better Judgment and Decision-Making			In Progress	4/7/2025 10:30	4/7/2025 10:30							4/7/2025 10:31	0	0.93	0	(LinkedIn Learning) ???? ??	
	 [Leadership Competency], [Leadership] Self-management, Leadership	Online Class		Developing Your Emotional Intelligence			In Progress	3/19/2025 14:39	3/19/2025 14:39							3/19/2025 14:40	0	0.68	0	(LinkedIn Learning) ???? ??	
	 [Software R&D], [Software R&D] Security software, Expertise	Online Class		Implementing the NIST Risk Management Framework (2020)			Completed	4/11/2025 15:30	4/11/2025 15:30						4/11/2025 16:40	4/11/2025 16:40	0	1.23	0	(LinkedIn Learning) ???? ??	
	 [Marketing], [Sales], Expertise	Curriculum		Influencing Without Authority			In Progress	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	6.67	0	(SEU) Sales&Marketing School	1
		Online Class		IWA1-1. Introduction			In Progress	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:09	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		IWA1-2. Identifying an Influencer			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		IWA1-3. Choosing A Project			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		IWA1-4. Action Steps			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.08	0	(SEU) Sales&Marketing School	1
		Online Class		IWA2-1. Understanding Influence			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.17	0	(SEU) Sales&Marketing School	1
		Online Class		IWA2-2. Using Personal Branding to Influence			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.25	0	(SEU) Sales&Marketing School	1
		Online Class		IWA2-3. The Seven Sources of Power			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.33	0	(SEU) Sales&Marketing School	1
		Online Class		IWA2-4. Influencing Support Skills			Registered	3/26/2025 10:08	3/26/2025 10:08							3/26/2025 10:08	0	0.25	0	(SEU) Sales&Marketing School	1
